date,cpi,purchasing_power
1947-01-01,21.48,4.655493482309125
1947-02-01,21.62,4.6253469010175765
1947-03-01,22.0,4.545454545454546
1947-04-01,22.0,4.545454545454546
1947-05-01,21.95,4.555808656036446
1947-06-01,22.08,4.528985507246377
1947-07-01,22.23,4.49842555105713
1947-08-01,22.4,4.464285714285714
1947-09-01,22.84,4.378283712784588
1947-10-01,22.91,4.364906154517678
1947-11-01,23.06,4.3365134431916745
1947-12-01,23.41,4.271678769756514
1948-01-01,23.68,4.222972972972973
1948-02-01,23.67,4.224757076468102
1948-03-01,23.5,4.25531914893617
1948-04-01,23.82,4.198152812762385
1948-05-01,24.01,4.164931278633902
1948-06-01,24.15,4.140786749482402
1948-07-01,24.4,4.0983606557377055
1948-08-01,24.43,4.093327875562832
1948-09-01,24.36,4.105090311986864
1948-10-01,24.31,4.113533525298231
1948-11-01,24.16,4.139072847682119
1948-12-01,24.05,4.158004158004158
1949-01-01,24.01,4.164931278633902
1949-02-01,23.91,4.182350480970305
1949-03-01,23.91,4.182350480970305
1949-04-01,23.92,4.180602006688963
1949-05-01,23.91,4.182350480970305
1949-06-01,23.92,4.180602006688963
1949-07-01,23.7,4.219409282700422
1949-08-01,23.7,4.219409282700422
1949-09-01,23.75,4.2105263157894735
1949-10-01,23.67,4.224757076468102
1949-11-01,23.7,4.219409282700422
1949-12-01,23.61,4.235493434985176
1950-01-01,23.51,4.253509145044662
1950-02-01,23.61,4.235493434985176
1950-03-01,23.64,4.230118443316413
1950-04-01,23.65,4.2283298097251585
1950-05-01,23.77,4.206983592763988
1950-06-01,23.88,4.1876046901172534
1950-07-01,24.07,4.154549231408392
1950-08-01,24.2,4.132231404958678
1950-09-01,24.34,4.108463434675431
1950-10-01,24.5,4.081632653061225
1950-11-01,24.6,4.0650406504065035
1950-12-01,24.98,4.00320256204964
1951-01-01,25.38,3.940110323089047
1951-02-01,25.83,3.8714672861014328
1951-03-01,25.88,3.8639876352395675
1951-04-01,25.92,3.8580246913580245
1951-05-01,25.99,3.8476337052712584
1951-06-01,25.93,3.8565368299267258
1951-07-01,25.91,3.8595137012736394
1951-08-01,25.86,3.8669760247486464
1951-09-01,26.03,3.8417210910487896
1951-10-01,26.16,3.8226299694189603
1951-11-01,26.32,3.7993920972644375
1951-12-01,26.47,3.7778617302606725
1952-01-01,26.45,3.780718336483932
1952-02-01,26.41,3.7864445285876562
1952-03-01,26.39,3.7893141341417205
1952-04-01,26.46,3.7792894935752077
1952-05-01,26.47,3.7778617302606725
1952-06-01,26.53,3.769317753486619
1952-07-01,26.68,3.7481259370314843
1952-08-01,26.69,3.746721618583739
1952-09-01,26.63,3.755163349605708
1952-10-01,26.69,3.746721618583739
1952-11-01,26.69,3.746721618583739
1952-12-01,26.71,3.743916136278547
1953-01-01,26.64,3.7537537537537538
1953-02-01,26.59,3.7608123354644603
1953-03-01,26.63,3.755163349605708
1953-04-01,26.69,3.746721618583739
1953-05-01,26.7,3.7453183520599254
1953-06-01,26.77,3.7355248412401942
1953-07-01,26.79,3.732736095558044
1953-08-01,26.85,3.7243947858472994
1953-09-01,26.89,3.718854592785422
1953-10-01,26.95,3.710575139146568
1953-11-01,26.85,3.7243947858472994
1953-12-01,26.87,3.721622627465575
1954-01-01,26.94,3.711952487008166
1954-02-01,26.99,3.7050759540570586
1954-03-01,26.93,3.7133308577794284
1954-04-01,26.86,3.7230081906180192
1954-05-01,26.93,3.7133308577794284
1954-06-01,26.94,3.711952487008166
1954-07-01,26.86,3.7230081906180192
1954-08-01,26.85,3.7243947858472994
1954-09-01,26.81,3.729951510630362
1954-10-01,26.72,3.7425149700598803
1954-11-01,26.78,3.7341299477221805
1954-12-01,26.77,3.7355248412401942
1955-01-01,26.77,3.7355248412401942
1955-02-01,26.82,3.7285607755406414
1955-03-01,26.79,3.732736095558044
1955-04-01,26.79,3.732736095558044
1955-05-01,26.77,3.7355248412401942
1955-06-01,26.71,3.743916136278547
1955-07-01,26.76,3.7369207772795217
1955-08-01,26.72,3.7425149700598803
1955-09-01,26.85,3.7243947858472994
1955-10-01,26.82,3.7285607755406414
1955-11-01,26.88,3.7202380952380953
1955-12-01,26.87,3.721622627465575
1956-01-01,26.83,3.7271710771524416
1956-02-01,26.86,3.7230081906180192
1956-03-01,26.89,3.718854592785422
1956-04-01,26.93,3.7133308577794284
1956-05-01,27.03,3.6995930447650758
1956-06-01,27.15,3.683241252302026
1956-07-01,27.29,3.6643459142543056
1956-08-01,27.31,3.6616623947272062
1956-09-01,27.35,3.6563071297989027
1956-10-01,27.51,3.635041802980734
1956-11-01,27.51,3.635041802980734
1956-12-01,27.63,3.6192544335866814
1957-01-01,27.67,3.614022406938923
1957-02-01,27.8,3.597122302158273
1957-03-01,27.86,3.589375448671931
1957-04-01,27.93,3.5803795202291444
1957-05-01,28.0,3.5714285714285716
1957-06-01,28.11,3.5574528637495555
1957-07-01,28.19,3.5473572188719404
1957-08-01,28.28,3.536067892503536
1957-09-01,28.32,3.5310734463276834
1957-10-01,28.32,3.5310734463276834
1957-11-01,28.41,3.5198873636043646
1957-12-01,28.47,3.5124692658939236
1958-01-01,28.64,3.4916201117318435
1958-02-01,28.7,3.4843205574912894
1958-03-01,28.87,3.4638032559750607
1958-04-01,28.94,3.455425017277125
1958-05-01,28.94,3.455425017277125
1958-06-01,28.91,3.459010722933241
1958-07-01,28.89,3.461405330564209
1958-08-01,28.94,3.455425017277125
1958-09-01,28.91,3.459010722933241
1958-10-01,28.91,3.459010722933241
1958-11-01,28.95,3.454231433506045
1958-12-01,28.97,3.4518467380048325
1959-01-01,29.01,3.447087211306446
1959-02-01,29.0,3.4482758620689653
1959-03-01,28.97,3.4518467380048325
1959-04-01,28.98,3.450655624568668
1959-05-01,29.04,3.443526170798898
1959-06-01,29.11,3.4352456200618344
1959-07-01,29.15,3.430531732418525
1959-08-01,29.18,3.427004797806717
1959-09-01,29.25,3.4188034188034186
1959-10-01,29.35,3.4071550255536627
1959-11-01,29.35,3.4071550255536627
1959-12-01,29.41,3.400204012240734
1960-01-01,29.37,3.404834865509023
1960-02-01,29.41,3.400204012240734
1960-03-01,29.41,3.400204012240734
1960-04-01,29.54,3.3852403520649967
1960-05-01,29.57,3.381805884342239
1960-06-01,29.61,3.377237419790611
1960-07-01,29.55,3.3840947546531304
1960-08-01,29.61,3.377237419790611
1960-09-01,29.61,3.377237419790611
1960-10-01,29.75,3.361344537815126
1960-11-01,29.78,3.3579583613163195
1960-12-01,29.81,3.354579000335458
1961-01-01,29.84,3.351206434316354
1961-02-01,29.84,3.351206434316354
1961-03-01,29.84,3.351206434316354
