DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,TRANSACTION,INSTR_ASSET,EXPENDITURE,UNIT_MEASURE,VALUATION,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,CONSOLIDATION,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,10110.564,_Z,P,,F,2,A,6,ILS
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2018,22214.639,_Z,P,,F,2,A,6,ILS
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CRI,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,545042.051,_Z,P,,F,2,A,6,CRC
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,NOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2014,32151,_Z,P,,F,2,A,6,NOK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,POL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2006,23742,_Z,P,,F,2,A,6,PLN
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,NOR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2006,18891,_Z,P,,F,2,A,6,NOK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DNK,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,19300.43,_Z,P,,F,2,A,6,DKK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,DNK,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2015,19934.76,_Z,P,,F,2,A,6,DKK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CZE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2006,71887,_Z,P,,F,2,A,6,CZK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CZE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2015,84328,_Z,P,,F,2,A,6,CZK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,CZE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2012,69561,_Z,P,,F,2,A,6,CZK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ROU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2007,10193.8,_Z,P,,F,2,A,6,RON
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ROU,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,12273.2,_Z,P,,F,2,A,6,RON
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2002,237592.539,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2007,308144.94,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,340615.827,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,USA,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2017,387046.336,_Z,P,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2004,35618,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,48491,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,SWE,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2017,58819,_Z,P,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GBR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2007,35367,_Z,P,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GBR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2017,37641,_Z,P,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GBR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2011,37309,_Z,P,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,GBR,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2002,25321,_Z,P,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,1995,101211,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,448749,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2016,821415,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,HUN,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2018,960527,_Z,P,,F,2,A,6,HUF
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2005,15138.16,_Z,P,,F,2,A,6,ISK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),A,ISL,S13,_Z,D,OTE,_Z,GF03,XDC,S,V,N,T1100,2016,33744.78,_Z,P,,F,2,A,6,ISK
