DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,AGE,SEX,SOCIO_ECON_STATUS,DEATH_CAUSE,CALC_METHODOLOGY,GESTATION_THRESHOLD,HEALTH_STATUS,DISEASE,CANCER_SITE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,OBS_STATUS2,OBS_STATUS3,UNIT_MULT
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2003,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2005,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2007,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2016,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2017,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),CRI,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2001,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),CRI,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2002,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),CRI,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2003,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),ISR,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2017,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),ITA,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2003,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),ITA,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2005,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,1998,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2016,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),JPN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2017,0.4,1,,,,0
